,instance_date,actual_worth,row_status_code,property_type_en,property_sub_type_en,area_name_en,actual_area,worth_per_sqft
1,04/19/2010,133641.20306780806,Completed,Building,Villa,Wadi Al Safa 6,232.48,574.8503229000692
3,02/15/2010,63108.34589313158,Completed,Unit,Flat,Marsa Dubai,66.33,951.429909439644
4,02/25/2010,55683.834611586695,Completed,Unit,Flat,Marsa Dubai,85.38,652.1882713936133
5,03/25/2010,100230.90230085605,Completed,Building,Villa,Al Thanayah Fourth,179.9,557.147872711818
7,04/19/2010,118792.18050471829,Completed,Unit,Flat,Marsa Dubai,164.99,719.9962452555808
9,06/28/2010,222735.33844634678,Completed,Unit,Hotel Apartment,Burj Khalifa,160.91,1384.223096428729
11,07/20/2010,118792.18050471829,Completed,Unit,Flat,Al Thanyah Third,155.27,765.0684646404217
12,07/28/2010,103943.1579416285,Completed,Unit,Flat,Palm Jumeirah,106.41,976.817572987769
18,06/14/2010,74245.11281544891,Completed,Unit,Flat,Al Thanyah Third,75.38,984.9444523142599
19,06/22/2010,74245.11281544891,Completed,Unit,Flat,Al Thanyah Third,101.69,730.1122314431008
20,06/14/2010,141065.71434935296,Completed,Unit,Flat,Marsa Dubai,248.31,568.1032352678224
21,01/31/2010,85381.87973776627,Completed,Unit,Flat,Marsa Dubai,127.18,671.3467505721518
24,06/14/2010,225779.53656200581,Completed,Unit,Flat,Burj Khalifa,405.31,557.0539502158985
25,04/19/2010,334103.00766952016,Completed,Unit,Flat,Marsa Dubai,525.1,636.2654878490195
26,01/31/2010,89094.13537853872,Completed,Unit,Flat,Marsa Dubai,125.79,708.2767738177813
27,06/14/2010,96518.6466600836,Completed,Unit,Flat,Marsa Dubai,138.5,696.8855354518671
28,09/27/2010,126216.69178626317,Completed,Building,Villa,Al Thanayah Fourth,321.64,392.4160296799626
29,09/20/2010,111367.66922317339,Completed,Building,Villa,Al Thanayah Fourth,265.58,419.33756014448903
31,10/25/2010,103943.1579416285,Completed,Building,Villa,Al Thanayah Fourth,158.7,654.9663386366005
32,10/25/2010,148490.22563089782,Completed,Building,Villa,Al Thanayah Fourth,376.58,394.31256474294395
33,06/19/2011,81669.62409699382,Completed,Building,Villa,Al Thanayah Fourth,167.25,488.30866425706324
34,05/24/2011,51971.57897081425,Completed,Unit,Flat,Al Thanyah Third,101.69,511.07856201017063
35,01/17/2011,74245.11281544891,Completed,Unit,Office,Al Thanyah Fifth,127.56,582.0407088072194
36,01/17/2011,81669.62409699382,Completed,Unit,Office,Al Thanyah Fifth,150.41,542.98001527155
38,03/14/2011,40834.81204849691,Completed,Unit,Flat,Al Thanyah Third,71.05,574.7334559957342
39,12/26/2010,56055.06017566394,Completed,Unit,Office,Business Bay,99.92,560.9994012776615
40,01/26/2011,96518.6466600836,Completed,Building,Villa,Al Thanayah Fourth,240.88,400.69182439423616
43,07/26/2011,103943.1579416285,Completed,Building,Villa,Al Thanayah Fourth,216.51,480.08479027125077
44,03/30/2011,81669.62409699382,Completed,Unit,Flat,Marsa Dubai,124.52,655.8755549067927
46,12/13/2010,103943.1579416285,Completed,Unit,Office,Al Thanyah First,175.03,593.8590981067731
47,12/27/2010,44547.06768926936,Completed,Unit,Flat,Al Thanyah Third,75.53,589.7930317657799
48,01/23/2011,92806.39101931115,Completed,Building,Villa,Al Thanayah Fourth,207.08,448.16684865419717
49,04/18/2011,118792.18050471829,Completed,Unit,Flat,Marsa Dubai,201.78,588.7212831039661
50,12/16/2010,44547.06768926936,Completed,Unit,Flat,Al Thanyah Third,69.52,640.7806054267745
51,12/26/2010,114337.47373579134,Completed,Unit,Flat,Marsa Dubai,178.9,639.1138833750215
52,12/27/2010,103943.1579416285,Completed,Building,Villa,Al Thanayah Fourth,255.12,407.4284961650537
53,01/23/2011,43062.16543296038,Completed,Unit,Office,Business Bay,82.48,522.0922094199851
54,02/21/2011,92806.39101931115,Completed,Building,Villa,Al Thanayah Fourth,174.57,531.6285216206172
55,03/28/2011,89094.13537853872,Completed,Building,Villa,Al Thanayah Fourth,172.51,516.4578017421525
57,04/18/2011,96518.6466600836,Completed,Unit,Flat,Marsa Dubai,151.91,635.3673007707432
58,12/27/2010,89094.13537853872,Completed,Unit,Flat,Marsa Dubai,122.89,724.9909299254514
59,01/26/2011,111367.66922317339,Completed,Unit,Flat,Palm Jumeirah,147.36,755.7523698640973
60,02/20/2011,81669.62409699382,Completed,Unit,Flat,Burj Khalifa,97.18,840.3953909960261
61,02/28/2011,66820.60153390403,Completed,Unit,Flat,Burj Khalifa,86.96,768.4061813926407
62,03/16/2011,111367.66922317339,Completed,Unit,Flat,Al Thanyah Third,201.88,551.6528097046433
63,03/14/2011,89094.13537853872,Completed,Building,Villa,Al Thanayah Fourth,167.25,532.7003610077054
64,03/22/2011,51971.57897081425,Completed,Unit,Flat,Burj Khalifa,71.81,723.7373481522663
65,12/16/2010,163339.24819398765,Completed,Unit,Flat,Marsa Dubai,255.31,639.7683137910291
67,03/16/2011,89094.13537853872,Completed,Building,Villa,Al Thanayah Fourth,170.02,524.0214996973222
69,12/26/2010,57020.24664226478,Completed,Unit,Office,Business Bay,101.87,559.735414177528
70,02/23/2011,89094.13537853872,Completed,Building,Villa,Al Thanayah Fourth,163.68,544.319008910916
71,03/16/2011,126216.69178626317,Completed,Building,Villa,Al Thanayah Fourth,346.12,364.6616542998473
72,03/14/2011,57168.73686789567,Completed,Unit,Flat,Al Thanyah Third,102.38,558.3975079888228
73,03/22/2011,74245.11281544891,Completed,Unit,Flat,Marsa Dubai,98.26,755.5985427991951
74,04/25/2011,59396.09025235914,Completed,Unit,Flat,Burj Khalifa,91.51,649.0666621392104
75,04/25/2011,89094.13537853872,Completed,Unit,Flat,Burj Khalifa,86.49,1030.109092132486
76,04/25/2011,111367.66922317339,Completed,Unit,Flat,Palm Jumeirah,144.07,773.0108226776803
77,05/16/2011,163339.24819398765,Completed,Building,Villa,Al Thanayah Fourth,430.78,379.1709183202276
78,07/13/2011,96518.6466600836,Completed,Building,Villa,Al Thanayah Fourth,207.06,466.13854274163816
80,01/23/2012,103943.1579416285,Completed,Building,Villa,Al Thanayah Fourth,236.44,439.617484104333
83,08/17/2011,111367.66922317339,Completed,Unit,Flat,Burj Khalifa,195.28,570.2973639040014
86,09/19/2011,89094.13537853872,Completed,Building,Villa,Al Thanayah Fourth,208.95,426.38973619784025
87,07/26/2011,85381.87973776627,Completed,Building,Villa,Al Thanayah Fourth,207.0,412.47284897471627
88,07/13/2011,89094.13537853872,Completed,Unit,Flat,Palm Jumeirah,105.63,843.4548459579544
92,08/22/2011,133641.20306780806,Completed,Building,Villa,Al Thanayah Fourth,318.27,419.89883767809744
94,09/26/2011,96518.6466600836,Completed,Building,Villa,Al Thanayah Fourth,171.92,561.4160461847581
