,Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Location,City,Latitude,Longitude,Rent_per_bed,Rent_per_bath
1,"Chaimaa Avenue Residences, JVC District 13, Jumeirah Village Circle (JVC), Dubai",25067.84741144414,1,1,Apartment,690,36.33021363977412,Medium,Yearly,Furnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,25067.84741144414,25067.84741144414
2,"Queue Point, Liwan, Dubai",25067.84741144414,2,2,Apartment,1800,13.926581895246747,Medium,Yearly,Unfurnished,For Rent,Liwan,Dubai,25.1101209,55.3676993,12533.92370572207,12533.92370572207
3,"Meydan Avenue, Meydan City, Dubai",25067.84741144414,1,2,Apartment,1070,23.427894777050604,Medium,Yearly,Unfurnished,For Rent,Meydan City,Dubai,25.1541673,55.2906695,25067.84741144414,12533.92370572207
4,"Al Jaddaf, Dubai",25067.84741144414,1,2,Apartment,940,26.667922778132066,Medium,Yearly,Unfurnished,For Rent,Al Jaddaf,Dubai,25.2075039,55.3224277,25067.84741144414,12533.92370572207
5,"Hoor 18, Al Jaddaf, Dubai",25067.84741144414,1,2,Apartment,1000,25.06784741144414,Medium,Yearly,Unfurnished,For Rent,Al Jaddaf,Dubai,25.2142937,55.324569,25067.84741144414,12533.92370572207
6,"DAMAC Ghalia, JVC District 18, Jumeirah Village Circle (JVC), Dubai",25068.119891008177,2,2,Apartment,1221,20.53081072154642,Medium,Yearly,Furnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,12534.059945504088,12534.059945504088
7,"Al Mankhool, Bur Dubai, Dubai",25068.119891008177,1,2,Apartment,1100,22.789199900916525,Medium,Yearly,Unfurnished,For Rent,Bur Dubai,Dubai,25.23559045,55.29672026315799,25068.119891008177,12534.059945504088
8,"Art XVIII Tower, Business Bay, Dubai",25068.119891008177,1,2,Apartment,797,31.453098984953794,Medium,Yearly,Unfurnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
9,"Escan Marina Tower, Dubai Marina, Dubai",25068.119891008177,1,2,Apartment,726,34.52909075896443,Medium,Yearly,Furnished,For Rent,Dubai Marina,Dubai,25.0786415,55.1352524,25068.119891008177,12534.059945504088
10,"Jumeirah Garden City, Al Satwa, Dubai",25068.119891008177,2,2,Apartment,1154,21.722807531202925,Medium,Yearly,Unfurnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,12534.059945504088,12534.059945504088
11,"Expo Golf Villas 2 (Parkside 2), Expo Golf Villas, Emaar South, Dubai South, Dubai",25068.119891008177,3,2,Villa,1482,16.9150606552012,Medium,Yearly,Unfurnished,For Rent,Dubai South,Dubai,24.9144391,55.1615128,8356.039963669393,12534.059945504088
12,"Catch Residences, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25068.119891008177,1,2,Apartment,902,27.791707196239663,Medium,Yearly,Unfurnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,25068.119891008177,12534.059945504088
13,"Damac Maison Prive Tower A, DAMAC Maison Prive, Business Bay, Dubai",25068.119891008177,0,2,Apartment,431,58.16269116243196,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
14,"Expo Golf Villas 2 (Parkside 2), Expo Golf Villas, Emaar South, Dubai South, Dubai",25068.119891008177,3,2,Townhouse,1504,16.667632906255434,Medium,Yearly,Unfurnished,For Rent,Dubai South,Dubai,24.9144391,55.1615128,8356.039963669393,12534.059945504088
15,"Jumeirah Garden City, Al Satwa, Dubai",25068.119891008177,1,2,Apartment,954,26.276855231664754,Medium,Yearly,Furnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,25068.119891008177,12534.059945504088
16,"Waves Tower, Business Bay, Dubai",25068.119891008177,1,2,Apartment,830,30.202554085552016,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
