Date,Year,Month,USD_AED,USD_EUR,USD_GBP,USD_JPY,USD_CAD,USD_CHF,USD_AUD,USD_INR,USD_CNY
1/1/10,2010,January,3.673,0.7009673349221925,0.6188884762965714,91.1011,1.0438,1.0345,1.095650268434316,45.8944,6.8269
2/1/10,2010,February,3.673,0.7309941520467835,0.6402868485081316,90.1395,1.0572,1.0722,1.1290504685559444,46.2732,6.8285
3/1/10,2010,March,3.673,0.7369196757553427,0.6640988179041041,90.7161,1.0229,1.0666,1.0961306587745259,45.4509,6.8262
4/1/10,2010,April,3.673,0.7453230975627936,0.6522306287503261,93.4527,1.0052,1.069,1.0796804145972791,44.444,6.8256
5/1/10,2010,May,3.673,0.7959882193743533,0.6817097279978185,91.973,1.0403,1.1295,1.1477103179157582,45.769,6.8275
6/1/10,2010,June,3.673,0.8181297553792032,0.677139761646804,90.8059,1.0376,1.1255,1.1710973181871414,46.4983,6.8184
7/1/10,2010,July,3.673,0.7805791897588011,0.6534239414532148,87.5005,1.0422,1.053,1.1381743683132255,46.7617,6.7762
8/1/10,2010,August,3.673,0.7750135627373479,0.6385288295766554,85.3727,1.0404,1.0388,1.1106175033318526,46.4605,6.7873
9/1/10,2010,September,3.673,0.7631840036632832,0.641395676993137,84.3571,1.033,1.0002,1.0640561821664185,45.8729,6.7396
10/1/10,2010,October,3.673,0.7193727069994965,0.6302388605281402,81.7285,1.0179,0.9686,1.0185373803218578,44.354,6.6678
11/1/10,2010,November,3.673,0.7323861139592793,0.626527159952384,82.518,1.0129,0.9847,1.0112245929821013,44.9315,6.6538
12/1/10,2010,December,3.673,0.7563724377883669,0.6412311638345624,83.3376,1.0081,0.9689,1.0071507704703393,45.1,6.6497
1/1/11,2011,January,3.673,0.747887218607434,0.6336332530731212,82.625,0.9939,0.9565,1.003814495081309,45.375,6.5964
2/1/11,2011,February,3.673,0.7322788517867604,0.6201935003721161,82.5368,0.9876,0.95,0.9916699722332408,45.3795,6.5761
3/1/11,2011,March,3.673,0.7132667617689016,0.6188501763723003,81.647,0.9766,0.9185,0.9888262632255512,44.9143,6.5645
4/1/11,2011,April,3.673,0.6915629322268326,0.6105378838756945,83.1771,0.958,0.8972,0.9444654325651681,44.301,6.5267
5/1/11,2011,May,3.673,0.6975933031042902,0.612294881214793,81.1257,0.968,0.874,0.936768149882904,44.9024,6.4957
6/1/11,2011,June,3.673,0.6942997986530585,0.6165608237252606,80.4259,0.9766,0.8401,0.941885655081473,44.8109,6.4746
7/1/11,2011,July,3.673,0.7005253940455342,0.6188884762965714,79.2425,0.9553,0.8214,0.9275577404693441,44.396,6.4575
8/1/11,2011,August,3.673,0.6976906439684644,0.6113964294448521,76.9657,0.9817,0.78,0.9521995810321843,45.3135,6.4036
9/1/11,2011,September,3.673,0.7274314395868189,0.6340752013188764,76.7957,1.0025,0.8767,0.9784735812133072,47.6905,6.3885
10/1/11,2011,October,3.673,0.7282260413632392,0.6341958396752917,76.643,1.0198,0.8958,0.983477576711251,49.202,6.371
11/1/11,2011,November,3.673,0.737571913261543,0.6326711375427053,77.5595,1.0248,0.9079,0.9889240506329113,50.6785,6.3564
12/1/11,2011,December,3.673,0.7601672367920943,0.6415602745877975,77.7967,1.0235,0.9334,0.9879470460383324,52.3824,6.3482
1/1/12,2012,January,3.673,0.774593338497289,0.6441638752898737,76.964,1.013,0.9376,0.9601536245799327,51.0015,6.3172
2/1/12,2012,February,3.673,0.7554011179936546,0.6327512022272842,78.47,0.9967,0.9118,0.9317927692881104,49.1812,6.2997
3/1/12,2012,March,3.673,0.7571168988491823,0.6319514661274014,82.4659,0.9938,0.9131,0.9500285008550257,50.3635,6.3125
4/1/12,2012,April,3.673,0.7598784194528875,0.625,81.2524,0.9928,0.9133,0.9661835748792271,51.69,6.3043
5/1/12,2012,May,3.673,0.7808839606434484,0.6279829188646069,79.6668,1.0097,0.9383,1.002004008016032,54.3314,6.3242
6/1/12,2012,June,3.673,0.7973845785822502,0.6428387760349704,79.3152,1.028,0.9576,1.001401962747847,55.9424,6.3633
7/1/12,2012,July,3.673,0.8144648965629582,0.6413134098634002,78.9348,1.0142,0.9783,0.970873786407767,55.4248,6.3717
8/1/12,2012,August,3.673,0.8060615831049492,0.6360513929525505,78.6909,0.9924,0.9681,0.954653937947494,55.4935,6.3593
9/1/12,2012,September,3.673,0.7760962359332557,0.6201165819174005,78.1353,0.9783,0.9386,0.9609840476648088,54.35,6.32
10/1/12,2012,October,3.673,0.7707723138584861,0.6218905472636815,79.0132,0.9872,0.9323,0.9710623422023693,53.0995,6.2627
11/1/12,2012,November,3.673,0.7789982083041208,0.62625250501002,81.0305,0.997,0.9388,0.9610764055742431,54.7845,6.2338
12/1/12,2012,December,3.673,0.7622532205198567,0.6193868070610096,83.7905,0.9898,0.9213,0.9555661729574774,54.647,6.2328
1/1/13,2013,January,3.673,0.751653638003608,0.6263701847792045,89.0581,0.9921,0.9234,0.9523809523809523,54.229,6.2215
2/1/13,2013,February,3.673,0.749232037161909,0.6462453147214682,93.0016,1.0098,0.9212,0.9699321047526674,53.8079,6.2323
3/1/13,2013,March,3.673,0.7720219254226821,0.6631299734748011,94.77,1.0244,0.9466,0.9666505558240697,54.4229,6.2154
