instance_date,actual_worth,row_status_code,property_type_en,property_sub_type_en,area_name_en,actual_area
30-04-2005,9750000,COMPLETED,Land,Commercial,Al Baraha,696.77
16-03-2009,39883500,COMPLETED,Land,Commercial,Al Barsha First,2470.2
18-04-2004,4000000,COMPLETED,Land,Warehouse,Ras Al Khor Industrial Second,4455.35
22-03-2006,3000000,COMPLETED,Land,Residential,Al Barsha Third,1393.55
8/5/05,26208000,COMPLETED,Land,Industrial,Al Garhoud,4869.6
3/3/08,23500000,COMPLETED,Land,Labor Camp,Al Ttay,1858.06
10/4/07,4500000,COMPLETED,Land,Commercial,Al Dhagaya,111.31
9/5/05,2170000,COMPLETED,Land,Residential,Al Barsha Second,1393.55
28-03-2006,4500000,COMPLETED,Land,Residential,Al Saffa Second,1393.55
11/5/05,4000000,COMPLETED,Land,Commercial,Naif,622.02
11/5/05,3000000,COMPLETED,Land,Commercial,Al Suq Al Kabeer,334.46
2/4/06,5000000,COMPLETED,Land,Residential,Hor Al Anz,309.87
14-05-2005,1800000,COMPLETED,Land,Residential,Al Khawaneej First,1858.06
12/4/07,9000000,COMPLETED,Land,Commercial,Eyal Nasser,158.44
24-06-2002,6000000,COMPLETED,Land,Commercial,Al Ras,209.12
14-06-2003,750000,COMPLETED,Land,Residential,Al Barsha Second,1393.55
14-05-2005,3000000,COMPLETED,Land,Commercial,Hor Al Anz,345.04
8/4/06,2500000,COMPLETED,Land,Commercial,Al Karama,211.35
3/5/04,978000,COMPLETED,Land,Commercial,Al Raffa,205.38
3/5/04,21640800,COMPLETED,Land,Commercial,Port Saeed,1675.48
9/4/06,16000000,COMPLETED,Land,Commercial,Hor Al Anz,2497.23
3/5/04,825000,COMPLETED,Land,Residential,Al Twar Third,1393.55
3/5/04,1100000,COMPLETED,Land,Residential,Abu Hail,522.58
24-06-2003,8000000,COMPLETED,Land,Commercial,Al Hamriya,740.91
21-07-2002,850000,COMPLETED,Land,Residential,Muhaisanah First,1839.48
25-04-2007,6000000,COMPLETED,Land,Residential,Mirdif,924.57
25-03-2009,4500000,COMPLETED,Land,Workshop,Al Qusais Industrial Third,1393.55
25-03-2009,6116000,COMPLETED,Land,Agricultural,Al Warsan Third,5681.95
6/3/08,2505000,COMPLETED,Land,Residential,Jumeirah First,233
3/8/02,1300000,COMPLETED,Land,Residential,Al Mizhar Second,2415.48
29-04-2007,3000000,COMPLETED,Land,Residential,Al Rashidiya,1681.54
6/3/08,800000000,COMPLETED,Land,,Marsa Dubai,6647.21
1/6/05,22021200,COMPLETED,Land,Commercial,Oud Metha,1704.81
16-05-2004,1200000,COMPLETED,Land,Commercial,Hor Al Anz,211.34
1/5/07,18172800,COMPLETED,Land,Residential,Al Khabeesi,2110.46
26-03-2009,2107800,COMPLETED,Land,Agricultural,Al Warsan Third,1958.21
6/1/09,17913000,COMPLETED,Land,Commercial,Muhaisanah Fourth,2377.39
5/1/04,16000000,COMPLETED,Land,Commercial,Al Muteena,1000.74
2/1/08,10000000,COMPLETED,Land,Commercial,Naif,285.12
14-01-2006,2800000,COMPLETED,Land,Residential,Al Barsha Third,1393.55
6/1/09,33000000,COMPLETED,Land,Commercial,Al Barsha First,5421.08
12/1/03,2628080,COMPLETED,Land,Residential,Um Suqaim First,1878.13
3/1/08,65000000,COMPLETED,Land,Commercial,Al Sabkha,777.74
7/1/09,10000000,COMPLETED,Land,Residential,Wadi Al Amardi,2090.33
3/1/08,990500,COMPLETED,Land,Commercial,Al Buteen,25.88
3/1/08,5206950,COMPLETED,Land,Commercial,Abu Hail,1322.78
18-01-2003,400000,COMPLETED,Land,Residential,Al Rashidiya,340.02
11/1/04,60000000,COMPLETED,Land,Commercial,Mankhool,2655.07
2/11/10,3204000,COMPLETED,Land,Commercial,Hor Al Anz,496.11
12/1/05,2229900,COMPLETED,Land,Residential,Mirdif,1381.1
3/1/08,7000000,COMPLETED,Land,Commercial,Al Sabkha,74.2
17-01-2007,10000000,COMPLETED,Land,Residential,Mirdif,2782.63
11/1/09,750000,COMPLETED,Land,Commercial,Abu Hail,232.26
3/1/08,33000000,COMPLETED,Land,Commercial,Al Sabkha,499.87
14-01-2004,8000000,COMPLETED,Land,Commercial,Al Mararr,230.69
18-01-2007,16478150,COMPLETED,Land,Commercial,Muhaisanah Fourth,2355.18
11/1/09,8000000,COMPLETED,Land,Commercial,Al Buteen,313.48
1/2/03,2500000,COMPLETED,Land,Commercial,Naif,309.18
29-01-2005,7800000,COMPLETED,Land,Residential,Um Suqaim Second,2913.44
18-01-2007,16937700,COMPLETED,Land,Commercial,Muhaisanah Fourth,3254.67
3/1/08,7000000,COMPLETED,Land,Residential,Mirdif,961.73
29-01-2005,2500000,COMPLETED,Land,Commercial,Al Buteen,50.73
6/1/08,12000000,COMPLETED,Land,Residential,Jumeirah First,1820.9
22-01-2006,9000000,COMPLETED,Land,Residential,Jumeirah Third,2090.32
22-01-2006,3500000,COMPLETED,Land,Residential,Jumeirah Second,929.03
6/1/08,19308600,COMPLETED,Land,Residential,Al Khabeesi,2110.46
25-01-2004,16500000,COMPLETED,Land,Commercial,Naif,1675.97
