date,Year,Month,Average_Monthly_Rent_AED,Average_Annual_Rent_AED
1/1/10,2010,January,4500,54000
2/1/10,2010,February,4600,55200
3/1/10,2010,March,4700,56400
4/1/10,2010,April,4750,57000
5/1/10,2010,May,4800,57600
6/1/10,2010,June,4850,58200
7/1/10,2010,July,4900,58800
8/1/10,2010,August,4950,59400
9/1/10,2010,September,5000,60000
10/1/10,2010,October,5050,60600
11/1/10,2010,November,5100,61200
12/1/10,2010,December,5150,61800
1/1/11,2011,January,5200,62400
2/1/11,2011,February,5250,63000
3/1/11,2011,March,5300,63600
4/1/11,2011,April,5350,64200
5/1/11,2011,May,5400,64800
6/1/11,2011,June,5450,65400
7/1/11,2011,July,5500,66000
8/1/11,2011,August,5550,66600
9/1/11,2011,September,5600,67200
10/1/11,2011,October,5650,67800
11/1/11,2011,November,5700,68400
12/1/11,2011,December,5750,69000
1/1/12,2012,January,5800,69600
2/1/12,2012,February,5850,70200
3/1/12,2012,March,5900,70800
4/1/12,2012,April,5950,71400
5/1/12,2012,May,6000,72000
6/1/12,2012,June,6050,72600
7/1/12,2012,July,6100,73200
8/1/12,2012,August,6150,73800
9/1/12,2012,September,6200,74400
10/1/12,2012,October,6250,75000
11/1/12,2012,November,6300,75600
12/1/12,2012,December,6350,76200
1/1/13,2013,January,6400,76800
2/1/13,2013,February,6450,77400
3/1/13,2013,March,6500,78000
4/1/13,2013,April,6550,78600
5/1/13,2013,May,6600,79200
6/1/13,2013,June,6650,79800
7/1/13,2013,July,6700,80400
8/1/13,2013,August,6750,81000
9/1/13,2013,September,6800,81600
10/1/13,2013,October,6850,82200
11/1/13,2013,November,6900,82800
12/1/13,2013,December,6950,83400
1/1/14,2014,January,7000,84000
2/1/14,2014,February,7050,84600
3/1/14,2014,March,7100,85200
4/1/14,2014,April,7150,85800
5/1/14,2014,May,7200,86400
6/1/14,2014,June,7250,87000
7/1/14,2014,July,7300,87600
8/1/14,2014,August,7350,88200
9/1/14,2014,September,7400,88800
10/1/14,2014,October,7450,89400
11/1/14,2014,November,7500,90000
12/1/14,2014,December,7550,90600
1/1/15,2015,January,7400,88800
2/1/15,2015,February,7300,87600
3/1/15,2015,March,7200,86400
4/1/15,2015,April,7100,85200
5/1/15,2015,May,7000,84000
6/1/15,2015,June,6900,82800
7/1/15,2015,July,6800,81600
8/1/15,2015,August,6700,80400
9/1/15,2015,September,6600,79200
10/1/15,2015,October,6500,78000
11/1/15,2015,November,6400,76800
12/1/15,2015,December,6300,75600
1/1/16,2016,January,6200,74400
2/1/16,2016,February,6100,73200
3/1/16,2016,March,6000,72000
4/1/16,2016,April,5900,70800
5/1/16,2016,May,5800,69600
6/1/16,2016,June,5700,68400
7/1/16,2016,July,5600,67200
8/1/16,2016,August,5500,66000
9/1/16,2016,September,5400,64800
10/1/16,2016,October,5300,63600
11/1/16,2016,November,5200,62400
12/1/16,2016,December,5100,61200
1/1/17,2017,January,5000,60000
2/1/17,2017,February,4900,58800
3/1/17,2017,March,4800,57600
4/1/17,2017,April,4700,56400
5/1/17,2017,May,4600,55200
6/1/17,2017,June,4500,54000
7/1/17,2017,July,4400,52800
8/1/17,2017,August,4300,51600
9/1/17,2017,September,4200,50400
10/1/17,2017,October,4100,49200
11/1/17,2017,November,4000,48000
12/1/17,2017,December,3900,46800
1/1/18,2018,January,3950,47400
2/1/18,2018,February,4000,48000
3/1/18,2018,March,4050,48600
4/1/18,2018,April,4100,49200
5/1/18,2018,May,4150,49800
6/1/18,2018,June,4200,50400
7/1/18,2018,July,4250,51000
8/1/18,2018,August,4300,51600
9/1/18,2018,September,4350,52200
10/1/18,2018,October,4400,52800
11/1/18,2018,November,4450,53400
12/1/18,2018,December,4500,54000
1/1/19,2019,January,4550,54600
2/1/19,2019,February,4600,55200
3/1/19,2019,March,4650,55800
4/1/19,2019,April,4700,56400
5/1/19,2019,May,4750,57000
6/1/19,2019,June,4800,57600
7/1/19,2019,July,4850,58200
8/1/19,2019,August,4900,58800
9/1/19,2019,September,4950,59400
10/1/19,2019,October,5000,60000
11/1/19,2019,November,5050,60600
12/1/19,2019,December,5100,61200
1/1/20,2020,January,5150,61800
2/1/20,2020,February,5200,62400
3/1/20,2020,March,5000,60000
4/1/20,2020,April,4800,57600
5/1/20,2020,May,4600,55200
6/1/20,2020,June,4400,52800
7/1/20,2020,July,4300,51600
8/1/20,2020,August,4200,50400
