,instance_date,actual_worth,row_status_code,property_type_en,property_sub_type_en,area_name_en,actual_area,worth_per_sqft
1,04/19/2010,133532.04880448015,Completed,Building,Villa,Wadi Al Safa 6,232.48,574.3808018086723
3,02/15/2010,63056.80082433784,Completed,Unit,Flat,Marsa Dubai,66.33,950.6528090507741
4,02/25/2010,55638.3536685334,Completed,Unit,Flat,Marsa Dubai,85.38,651.6555829062239
5,03/25/2010,100149.03660336012,Completed,Building,Villa,Al Thanayah Fourth,179.9,556.6928104689279
7,04/19/2010,118695.15449287125,Completed,Unit,Flat,Marsa Dubai,164.99,719.4081731794124
9,06/28/2010,222553.4146741336,Completed,Unit,Hotel Apartment,Burj Khalifa,160.91,1383.0925031019426
11,07/20/2010,118695.15449287125,Completed,Unit,Flat,Al Thanyah Third,155.27,764.4435788811184
12,07/28/2010,103858.26018126235,Completed,Unit,Flat,Palm Jumeirah,106.41,976.0197366907466
18,06/14/2010,74184.47155804452,Completed,Unit,Flat,Al Thanyah Third,75.38,984.1399782176244
19,06/22/2010,74184.47155804452,Completed,Unit,Flat,Al Thanyah Third,101.69,729.5158969224557
20,06/14/2010,140950.4959602846,Completed,Unit,Flat,Marsa Dubai,248.31,567.639225002153
21,01/31/2010,85312.14229175121,Completed,Unit,Flat,Marsa Dubai,127.18,670.798413993955
24,06/14/2010,225595.12637695653,Completed,Unit,Flat,Burj Khalifa,405.31,556.5989646861823
25,04/19/2010,333830.12201120035,Completed,Unit,Flat,Marsa Dubai,525.1,635.7458046299759
26,01/31/2010,89021.36586965344,Completed,Unit,Flat,Marsa Dubai,125.79,707.6982738663919
27,06/14/2010,96439.81302545789,Completed,Unit,Flat,Marsa Dubai,138.5,696.3163395339919
28,09/27/2010,126113.60164867569,Completed,Building,Villa,Al Thanayah Fourth,321.64,392.0955156344848
29,09/20/2010,111276.7073370668,Completed,Building,Villa,Al Thanayah Fourth,265.58,418.99505737279463
31,10/25/2010,103858.26018126235,Completed,Building,Villa,Al Thanayah Fourth,158.7,654.4313811043627
32,10/25/2010,148368.94311608904,Completed,Building,Villa,Al Thanayah Fourth,376.58,393.99050166256586
33,06/19/2011,81602.91871384898,Completed,Building,Villa,Al Thanayah Fourth,167.25,487.9098278854946
34,05/24/2011,51929.13009063117,Completed,Unit,Flat,Al Thanyah Third,101.69,510.6611278457191
35,01/17/2011,74184.47155804452,Completed,Unit,Office,Al Thanyah Fifth,127.56,581.5653148169059
36,01/17/2011,81602.91871384898,Completed,Unit,Office,Al Thanyah Fifth,150.41,542.5365249242004
