city,effective_tax_rate,insurance_rate
new_york,0.0172,0.0045
los_angeles,0.0073,0.0060
san_francisco,0.0074,0.0050
seattle,0.0093,0.0042
chicago,0.0201,0.0048
boston,0.0108,0.0043
washington_dc,0.0055,0.0041
miami,0.0083,0.0120
dallas,0.0174,0.0065
houston,0.0179,0.0070
san_diego,0.0076,0.0058
minneapolis,0.0108,0.0044
austin,0.0181,0.0062
phoenix,0.0063,0.0058
atlanta,0.0092,0.0055
nashville,0.0064,0.0052
charlotte,0.0082,0.0049
raleigh,0.0079,0.0048
denver,0.0051,0.0050
tampa,0.0083,0.0115
orlando,0.0087,0.0108
salt_lake_city,0.0058,0.0043
columbus,0.0139,0.0046
indianapolis,0.0087,0.0047
kansas_city,0.0114,0.0053
sacramento,0.0075,0.0058
san_jose,0.0073,0.0050
portland,0.0091,0.0046
las_vegas,0.0053,0.0055
jacksonville,0.0089,0.0105
detroit,0.0201,0.0052
pittsburgh,0.0155,0.0044
cleveland,0.0180,0.0045
memphis,0.0107,0.0056
baltimore,0.0101,0.0044
