date,Year,Month,Average_Monthly_Rent_AED,Average_Annual_Rent_AED
1/1/10,2010,January,8500,102000
2/1/10,2010,February,8600,103200
3/1/10,2010,March,8700,104400
4/1/10,2010,April,8750,105000
5/1/10,2010,May,8800,105600
6/1/10,2010,June,8900,106800
7/1/10,2010,July,9000,108000
8/1/10,2010,August,9100,109200
9/1/10,2010,September,9200,110400
10/1/10,2010,October,9300,111600
11/1/10,2010,November,9400,112800
12/1/10,2010,December,9500,114000
1/1/11,2011,January,9600,115200
2/1/11,2011,February,9700,116400
3/1/11,2011,March,9800,117600
4/1/11,2011,April,9900,118800
5/1/11,2011,May,10000,120000
6/1/11,2011,June,10100,121200
7/1/11,2011,July,10200,122400
8/1/11,2011,August,10300,123600
9/1/11,2011,September,10400,124800
10/1/11,2011,October,10500,126000
11/1/11,2011,November,10600,127200
12/1/11,2011,December,10700,128400
1/1/12,2012,January,10800,129600
2/1/12,2012,February,10900,130800
3/1/12,2012,March,11000,132000
4/1/12,2012,April,11100,133200
5/1/12,2012,May,11200,134400
6/1/12,2012,June,11300,135600
7/1/12,2012,July,11400,136800
8/1/12,2012,August,11500,138000
9/1/12,2012,September,11600,139200
10/1/12,2012,October,11700,140400
11/1/12,2012,November,11800,141600
12/1/12,2012,December,11900,142800
1/1/13,2013,January,12000,144000
2/1/13,2013,February,12100,145200
3/1/13,2013,March,12200,146400
4/1/13,2013,April,12300,147600
5/1/13,2013,May,12400,148800
6/1/13,2013,June,12500,150000
7/1/13,2013,July,12600,151200
8/1/13,2013,August,12700,152400
9/1/13,2013,September,12800,153600
10/1/13,2013,October,12900,154800
11/1/13,2013,November,13000,156000
12/1/13,2013,December,13100,157200
1/1/14,2014,January,13200,158400
2/1/14,2014,February,13300,159600
3/1/14,2014,March,13400,160800
4/1/14,2014,April,13500,162000
5/1/14,2014,May,13600,163200
6/1/14,2014,June,13700,164400
7/1/14,2014,July,13800,165600
8/1/14,2014,August,13900,166800
9/1/14,2014,September,14000,168000
10/1/14,2014,October,14100,169200
11/1/14,2014,November,14200,170400
12/1/14,2014,December,14300,171600
1/1/15,2015,January,14000,168000
2/1/15,2015,February,13800,165600
3/1/15,2015,March,13600,163200
4/1/15,2015,April,13400,160800
5/1/15,2015,May,13200,158400
6/1/15,2015,June,13000,156000
7/1/15,2015,July,12800,153600
8/1/15,2015,August,12600,151200
9/1/15,2015,September,12400,148800
10/1/15,2015,October,12200,146400
11/1/15,2015,November,12000,144000
12/1/15,2015,December,11800,141600
1/1/16,2016,January,11600,139200
2/1/16,2016,February,11400,136800
3/1/16,2016,March,11200,134400
4/1/16,2016,April,11000,132000
5/1/16,2016,May,10800,129600
6/1/16,2016,June,10600,127200
7/1/16,2016,July,10400,124800
8/1/16,2016,August,10200,122400
9/1/16,2016,September,10000,120000
10/1/16,2016,October,9800,117600
11/1/16,2016,November,9600,115200
12/1/16,2016,December,9400,112800
1/1/17,2017,January,9200,110400
2/1/17,2017,February,9000,108000
3/1/17,2017,March,8800,105600
4/1/17,2017,April,8600,103200
5/1/17,2017,May,8400,100800
6/1/17,2017,June,8200,98400
7/1/17,2017,July,8000,96000
8/1/17,2017,August,7800,93600
9/1/17,2017,September,7600,91200
10/1/17,2017,October,7400,88800
11/1/17,2017,November,7200,86400
12/1/17,2017,December,7000,84000
1/1/18,2018,January,7100,85200
2/1/18,2018,February,7200,86400
3/1/18,2018,March,7300,87600
4/1/18,2018,April,7400,88800
5/1/18,2018,May,7500,90000
6/1/18,2018,June,7600,91200
7/1/18,2018,July,7700,92400
8/1/18,2018,August,7800,93600
9/1/18,2018,September,7900,94800
10/1/18,2018,October,8000,96000
11/1/18,2018,November,8100,97200
12/1/18,2018,December,8200,98400
1/1/19,2019,January,8300,99600
2/1/19,2019,February,8400,100800
3/1/19,2019,March,8500,102000
4/1/19,2019,April,8600,103200
5/1/19,2019,May,8700,104400
6/1/19,2019,June,8800,105600
7/1/19,2019,July,8900,106800
8/1/19,2019,August,9000,108000
9/1/19,2019,September,9100,109200
10/1/19,2019,October,9200,110400
11/1/19,2019,November,9300,111600
12/1/19,2019,December,9400,112800
1/1/20,2020,January,9500,114000
2/1/20,2020,February,9600,115200
3/1/20,2020,March,9200,110400
4/1/20,2020,April,8800,105600
5/1/20,2020,May,8400,100800
6/1/20,2020,June,8000,96000
7/1/20,2020,July,7800,93600
8/1/20,2020,August,7600,91200
9/1/20,2020,September,7400,88800
10/1/20,2020,October,7200,86400
11/1/20,2020,November,7000,84000
12/1/20,2020,December,6800,81600
1/1/21,2021,January,6900,82800
2/1/21,2021,February,7000,84000
3/1/21,2021,March,7200,86400
4/1/21,2021,April,7400,88800
5/1/21,2021,May,7600,91200
6/1/21,2021,June,7800,93600
7/1/21,2021,July,8000,96000
8/1/21,2021,August,8200,98400
9/1/21,2021,September,8400,100800
10/1/21,2021,October,8600,103200
11/1/21,2021,November,8800,105600
12/1/21,2021,December,9000,108000
1/1/22,2022,January,9300,111600
2/1/22,2022,February,9600,115200
3/1/22,2022,March,9900,118800
4/1/22,2022,April,10200,122400
5/1/22,2022,May,10500,126000
6/1/22,2022,June,10800,129600
7/1/22,2022,July,11100,133200
8/1/22,2022,August,11400,136800
9/1/22,2022,September,11700,140400
10/1/22,2022,October,12000,144000
11/1/22,2022,November,12300,147600
12/1/22,2022,December,12600,151200
1/1/23,2023,January,12900,154800
2/1/23,2023,February,13200,158400
3/1/23,2023,March,13500,162000
4/1/23,2023,April,13800,165600
5/1/23,2023,May,14100,169200
6/1/23,2023,June,14400,172800
7/1/23,2023,July,14700,176400
8/1/23,2023,August,15000,180000
9/1/23,2023,September,15300,183600
10/1/23,2023,October,15600,187200
11/1/23,2023,November,15900,190800
12/1/23,2023,December,16200,194400
1/1/24,2024,January,16500,198000
2/1/24,2024,February,16800,201600
3/1/24,2024,March,17100,205200
4/1/24,2024,April,17400,208800
5/1/24,2024,May,17700,212400
6/1/24,2024,June,18000,216000
7/1/24,2024,July,18300,219600
8/1/24,2024,August,18600,223200
9/1/24,2024,September,18900,226800
10/1/24,2024,October,19200,230400
11/1/24,2024,November,19500,234000
12/1/24,2024,December,19800,237600
1/1/25,2025,January,20100,241200
2/1/25,2025,February,20400,244800
3/1/25,2025,March,20700,248400
4/1/25,2025,April,21000,252000
5/1/25,2025,May,21300,255600
